VM;Powerstate;Template;CPUs;NICs
ESEATMASV00407;poweredOn;False;2;1
ESEATMASV00415;poweredOn;False;1;1
ESEATMASV00427;poweredOn;False;2;1
ESEATMASV00440;poweredOn;False;4;1
ESEATMASV00480;poweredOn;False;2;1
ESEATMASV00504;poweredOn;False;4;1
ESEATMASV00507;poweredOn;False;4;1
ESEATMASV00514;poweredOn;False;4;1
ESEATMASV00515;poweredOn;False;2;1
ESEATMASV00518;poweredOn;False;2;1
ESEATMASV00519;poweredOn;False;2;1
ESEATMASV00520;poweredOn;False;2;1
ESEATMASV00521;poweredOn;False;2;1
ESEATMASV00523;poweredOn;False;2;1
ESEATMASV00533;poweredOn;False;2;1
ESEATMASV00534;poweredOn;False;4;1
ESEATMASV00546;poweredOn;False;2;1
ESEATMASV00553;poweredOn;False;6;1
ESEATMASV00562;poweredOn;False;4;1
ESEATMASV00565;poweredOn;False;4;1
ESEATMASV00566;poweredOn;False;4;1
ESEATMASV00567;poweredOn;False;4;1
ESEATMASV00568;poweredOn;False;4;1
ESEATMASV00569;poweredOn;False;6;1
ESEATMASV00570;poweredOn;False;6;1
ESEATMASV00571;poweredOn;False;4;2
ESEATMASV00572;poweredOn;False;4;1
ESEATMASV00573;poweredOn;False;4;1
ESEATMASV00580;poweredOn;False;2;1
ESEATMASV00581;poweredOn;False;2;1
ESEATMASV01110;poweredOn;False;4;1
ESEATMASV01115;poweredOn;False;4;1
ESEATMASV01117;poweredOn;False;6;1
ESEATMASV01123;poweredOn;False;4;1
eseatmasv01129;poweredOn;False;1;1
ESEATMASV01133;poweredOn;False;4;1
ESEATMASV01137;poweredOn;False;2;1
ESEATMASV01139;poweredOn;False;4;1
eseatmasv01194;poweredOn;False;2;1
eseatmasv01197;poweredOn;False;2;1
ESEATMASV01200;poweredOn;False;4;1
eseatmasv01211;poweredOn;False;2;1
eseatmasv01212;poweredOn;False;2;1
ESEATMASV01261;poweredOn;False;2;1
eseatmasv01264;poweredOn;False;4;1
ESEATMASV01299;poweredOn;False;2;1
ESEATMASV01315;poweredOn;False;4;1
ESEATMASV01316;poweredOn;False;2;1
ESEATMASV01317;poweredOn;False;4;1
ESEATMASV01318;poweredOn;False;4;1
ESEATMASV01319;poweredOn;False;6;1
ESEATMASV01320;poweredOn;False;4;1
ESEATMASV01321;poweredOn;False;2;1
ESEATMAUV00006;poweredOn;False;16;1
ESEATMAUV00015;poweredOn;False;4;1
ESEATMAUV00022;poweredOn;False;2;1
ESEATMAUV00023;poweredOn;False;4;1
ESEATMAUV00025;poweredOn;False;2;2
ESEATMAUV00027;poweredOn;False;2;2
ESEATMAUV00028;poweredOn;False;2;1
ESEATMAUV00043;poweredOn;False;4;2
ESEATMAUV00044;poweredOn;False;4;2
ESEATMAUV00045;poweredOn;False;4;2
ESEATMAUV00046;poweredOn;False;2;2
ESEATMAUV00047;poweredOn;False;2;1
ESEATMAUV00049;poweredOn;False;2;1
ESEATMAUV00050;poweredOn;False;2;1
ESEATMAUV00052;poweredOn;False;4;1
ESEATMAUV00053;poweredOn;False;4;1
ESEATMAUV00074;poweredOn;False;4;2
ESEATMAUV00075;poweredOn;False;4;2
ESEATMAUV00076;poweredOn;False;4;2
ESEATMAUV00077;poweredOn;False;4;2
ESEATMAUV00083;poweredOn;False;2;1
ESEATMAUV00084;poweredOn;False;2;1
ESEATMAUV00085;poweredOn;False;4;1
ESEATMAUV00086;poweredOn;False;2;1
ESEATMAUV00089;poweredOn;False;2;2
eseatmauv00094;poweredOn;False;8;1
ESEATMAUV00114;poweredOn;False;2;1
ESEATMAUV00115;poweredOn;False;2;1
ESEATMAUV00117;poweredOn;False;8;1
ESEATMAUV00118;poweredOn;False;8;1
ESEATMAUV00151;poweredOn;False;4;1
ESEATMAUV00152;poweredOn;False;4;1
ESEATMAUV00200;poweredOn;False;8;3
ESEATMAUV00201;poweredOn;False;8;3
ESEATMAUV00202;poweredOn;False;4;4
ESEATMAUV00203;poweredOn;False;4;4
ESEATMAUV00206;poweredOn;False;8;2
ESEATMAUV00207;poweredOn;False;8;2
ESEATMAUVC00026;poweredOn;False;8;1
ESSEATMAS35666;poweredOn;False;2;1
ESSEATMAS35697;poweredOn;False;2;1
esseatmas428170;poweredOn;False;2;1
esseatmas43489;poweredOn;False;1;1
ESSEATMAS507049;poweredOn;False;2;1
ESSEATMAS507059;poweredOn;False;4;1
ESSEATMAS507062;poweredOn;False;6;1
esseatmas507079;poweredOn;False;4;1
esseatmas507080;poweredOn;False;4;1
ESSEATMAS507092;poweredOn;False;4;1
esseatmas92591;poweredOn;False;2;2
esseatmasv00198;poweredOn;False;1;1
hci-fio-datastore-1175711-0-1;poweredOn;False;4;1
hci-fio-datastore-1175711-0-10;poweredOn;False;4;1
hci-fio-datastore-1175711-0-11;poweredOn;False;4;1
hci-fio-datastore-1175711-0-12;poweredOn;False;4;1
